column,representation,feature_id,mean_abs_shap,mean_signed_shap
44357,global_absdelta,11589,0.01760649,0.0029789638
17011,window_absdelta,627,0.017600112,0.004230394
45273,global_absdelta,12505,0.017594434,0.00836921
42302,global_absdelta,9534,0.01708325,-0.0012895692
22153,window_absdelta,5769,0.01704118,0.0070192087
33422,global_absdelta,654,0.017002257,0.0058256476
36353,global_absdelta,3585,0.016957156,0.0015457852
44679,global_absdelta,11911,0.016943287,0.008000595
43520,global_absdelta,10752,0.016931284,0.009888673
44178,global_absdelta,11410,0.016780203,0.0057035456
24523,window_absdelta,8139,0.01668552,0.007543627
38896,global_absdelta,6128,0.016479084,0.0026102753
18056,window_absdelta,1672,0.016440574,0.002258095
42090,global_absdelta,9322,0.016228475,-0.0040501365
43559,global_absdelta,10791,0.016216643,-0.0003290589
33938,global_absdelta,1170,0.016165681,0.002021136
33216,global_absdelta,448,0.016113631,0.0060390355
39320,global_absdelta,6552,0.016028015,0.006351133
39747,global_absdelta,6979,0.015941177,0.0031469117
26897,window_absdelta,10513,0.015807513,0.0043933764
42679,global_absdelta,9911,0.015685204,0.0017642913
48883,global_absdelta,16115,0.015630538,0.005842106
21968,window_absdelta,5584,0.015612081,-0.004097967
39145,global_absdelta,6377,0.015161093,0.0066186893
38686,global_absdelta,5918,0.015156889,0.00534756
40254,global_absdelta,7486,0.015143348,0.0042982926
49088,global_absdelta,16320,0.015073868,0.004227895
37668,global_absdelta,4900,0.014966151,0.0015173205
5584,local_delta,5584,0.01484226,-0.0031630667
48381,global_absdelta,15613,0.014626226,0.0038157078
46613,global_absdelta,13845,0.014607208,0.0074061933
47193,global_absdelta,14425,0.014431453,0.00048235245
11414,local_delta,11414,0.014369928,-0.0013415171
34219,global_absdelta,1451,0.014359728,0.0020378726
46160,global_absdelta,13392,0.014022619,9.184613e-05
44386,global_absdelta,11618,0.014014874,0.004849131
43812,global_absdelta,11044,0.013809218,0.007596712
36972,global_absdelta,4204,0.013799563,0.0061587025
38163,global_absdelta,5395,0.01374675,0.004259008
43575,global_absdelta,10807,0.013726041,0.0052022533
43634,global_absdelta,10866,0.013488373,0.007487324
36529,global_absdelta,3761,0.013435736,0.0017168341
44259,global_absdelta,11491,0.013167406,0.005130615
33839,global_absdelta,1071,0.013167109,0.00031859588
47870,global_absdelta,15102,0.012929681,0.0050257277
17820,window_absdelta,1436,0.012908433,0.0028089837
45999,global_absdelta,13231,0.012707421,-0.001297768
45525,global_absdelta,12757,0.012692394,0.0012296265
42442,global_absdelta,9674,0.012594783,-0.00018535923
42277,global_absdelta,9509,0.012562975,0.0030779354
48738,global_absdelta,15970,0.012519663,0.0042082923
40861,global_absdelta,8093,0.012509546,0.0018068254
47748,global_absdelta,14980,0.012480681,0.0019162013
37718,global_absdelta,4950,0.012385804,0.002926805
47312,global_absdelta,14544,0.012358355,-0.0025864318
