feature_id,mean_abs_shap
14572,0.034442753
3926,0.020003552
13129,0.0152035905
5779,0.013688629
654,0.013161616
6284,0.012179569
2182,0.0117019005
12242,0.01143125
9194,0.011001589
11783,0.010321081
6500,0.010319673
6843,0.00930535
8093,0.009070675
606,0.008940138
9632,0.008282743
11922,0.0068790414
8477,0.0067814845
15329,0.006747987
11021,0.0065656104
12181,0.0064705177
278,0.0060576494
13855,0.0057985964
5622,0.005672228
4541,0.0055125714
7583,0.005329275
127,0.005227163
4983,0.0050871447
11393,0.004932969
9244,0.0048492765
1265,0.0041835047
2600,0.00410109
6403,0.0040289694
7523,0.003979806
11548,0.0038234002
5608,0.0037573364
9605,0.0037532758
14000,0.0036501223
11676,0.003571843
1015,0.003485531
14895,0.0033157216
