column,representation,feature_id,mean_abs_shap,mean_signed_shap
42207,global_absdelta,9439,0.016252361,0.008520122
48329,global_absdelta,15561,0.016219102,0.007341667
49092,global_absdelta,16324,0.01620056,-0.0002302125
36076,global_absdelta,3308,0.016147925,0.0050740326
43578,global_absdelta,10810,0.015986947,0.008189914
38413,global_absdelta,5645,0.01594803,0.0054309303
38002,global_absdelta,5234,0.01592739,-0.0024684095
49096,global_absdelta,16328,0.015742034,0.00090211
34042,global_absdelta,1274,0.015711531,0.006758716
41426,global_absdelta,8658,0.015545643,-0.0017598046
48766,global_absdelta,15998,0.0154028,0.0055413223
46310,global_absdelta,13542,0.01535372,0.0041192416
2715,local_delta,2715,0.015310635,0.0051550968
48509,global_absdelta,15741,0.014933705,-0.00011222135
37206,global_absdelta,4438,0.014884134,0.0054909266
44174,global_absdelta,11406,0.014844073,0.008075531
11020,local_delta,11020,0.014833751,0.005054873
37618,global_absdelta,4850,0.014828546,0.0020019196
37720,global_absdelta,4952,0.014806188,0.0064681
34103,global_absdelta,1335,0.014738984,0.0023276
48846,global_absdelta,16078,0.0146686565,0.002606932
45773,global_absdelta,13005,0.01456547,0.0017517369
43968,global_absdelta,11200,0.0144274775,0.003005894
35824,global_absdelta,3056,0.014378645,0.0039170906
42422,global_absdelta,9654,0.014349671,-0.0016619674
47622,global_absdelta,14854,0.014038738,0.006141354
44738,global_absdelta,11970,0.014027606,-0.004308451
47081,global_absdelta,14313,0.013791296,0.00014651458
40087,global_absdelta,7319,0.013638378,0.004455901
48253,global_absdelta,15485,0.013417,0.00017992691
33671,global_absdelta,903,0.013389695,0.005480397
45801,global_absdelta,13033,0.013081038,0.005750979
39972,global_absdelta,7204,0.012969195,0.0069498233
37448,global_absdelta,4680,0.0127771385,0.0047305403
42450,global_absdelta,9682,0.012731211,0.0032149064
