feature_id,mean_abs_shap
13421,0.30656904
4660,0.29901496
16049,0.24186379
401,0.19976957
7949,0.15537427
367,0.14404362
5986,0.13326861
6474,0.120766275
14626,0.10162063
14358,0.10073791
2302,0.09286373
9072,0.09244488
11020,0.086456075
12156,0.08301427
4202,0.081132025
27,0.076213814
1264,0.07368759
16154,0.07309195
10475,0.065356
10213,0.06414483
15483,0.06021033
14458,0.05597235
7085,0.054473434
4755,0.05207853
4025,0.050927646
3329,0.05079174
3849,0.049344726
10998,0.048753403
9642,0.047491968
14970,0.04649005
7206,0.04400702
3349,0.043229874
14284,0.040805593
11449,0.04041323
3858,0.039731435
3468,0.038550895
11379,0.037885603
2080,0.03487178
6886,0.034720186
7541,0.034667786
